arrival_rate,buffer_size,service_rate,packets_arrived,packets_delivered,packets_dropped,throughput,loss_rate_pct,mean_delay_ms,p95_delay_ms,mean_queue_wait_ms,mean_service_ms
2.0,5,6.0,1012,1010,0,2.02,0.0,338.7796,859.7505,77.9746,161.4491
4.0,5,6.0,1977,1918,57,3.836,2.8832,484.3244,1197.7232,223.9282,163.5632
5.5,5,6.0,2752,2474,276,4.948,10.0291,618.6975,1416.6898,357.1237,162.1963
6.0,5,6.0,3065,2600,460,5.2,15.0082,676.4136,1510.0941,411.3962,163.8471
7.0,5,6.0,3516,2773,739,5.546,21.0182,742.7665,1552.9513,478.7437,164.0805
8.0,5,6.0,4001,2874,1122,5.748,28.043,804.667,1606.3904,541.5851,164.1166
10.0,5,6.0,5090,2980,2105,5.96,41.3556,892.2578,1699.2608,627.1327,164.8233
2.0,10,6.0,999,998,0,1.996,0.0,336.571,854.019,76.9915,161.3916
4.0,10,6.0,2035,2025,8,4.05,0.3931,590.5734,1532.0294,326.0268,166.7149
5.5,10,6.0,2771,2634,130,5.268,4.6914,927.5221,2154.7307,664.8613,163.0703
6.0,10,6.0,3049,2777,267,5.554,8.757,1105.3626,2299.3367,839.5217,165.4359
7.0,10,6.0,3514,2931,575,5.862,16.3631,1328.8455,2448.0377,1064.9035,164.9257
8.0,10,6.0,4020,3030,980,6.06,24.3781,1472.1501,2551.9832,1209.2636,162.8193
10.0,10,6.0,5091,3043,2037,6.086,40.0118,1658.7371,2699.8852,1394.0206,163.7716
2.0,20,6.0,999,998,0,1.996,0.0,336.571,854.019,76.9915,161.3916
4.0,20,6.0,2009,2007,0,4.014,0.0,591.5647,1614.5398,329.4021,164.3491
5.5,20,6.0,2739,2696,32,5.392,1.1683,1282.5906,3240.0341,1021.0043,162.8239
6.0,20,6.0,3046,2892,144,5.784,4.7275,1976.0758,4006.5995,1710.8767,165.2889
7.0,20,6.0,3532,2990,524,5.98,14.8358,2669.5235,4476.9086,2404.589,165.2251
8.0,20,6.0,4027,3043,964,6.086,23.9384,2986.15,4558.2053,2722.4935,163.5973
10.0,20,6.0,5097,3038,2039,6.076,40.0039,3288.4263,4696.1252,3023.4253,164.323
2.0,50,6.0,999,998,0,1.996,0.0,336.571,854.019,76.9915,161.3916
4.0,50,6.0,2009,2007,0,4.014,0.0,591.5647,1614.5398,329.4021,164.3491
5.5,50,6.0,2747,2728,2,5.456,0.0728,1742.8675,5040.8597,1480.9265,163.9062
6.0,50,6.0,3043,2951,61,5.902,2.0046,3989.5879,8710.6236,3724.8724,165.0938
7.0,50,6.0,3540,3006,485,6.012,13.7006,7130.2314,10055.1732,6865.5342,165.3876
8.0,50,6.0,4049,3025,973,6.05,24.0306,7743.4319,10306.2977,7479.081,164.7993
10.0,50,6.0,5097,3038,2009,6.076,39.4153,8083.3332,10343.749,7818.3778,164.323
